LocationID,LocationName,StateAbbr,StateDesc,TotalPopulation,KMeansCluster,HierCluster
12055,Highlands,FL,Florida,"107,614",1.0,4.0
12085,Martin,FL,Florida,"163,315",0.0,2.0
13047,Catoosa,GA,Georgia,"68,910",1.0,2.0
13185,Lowndes,GA,Georgia,"120,712",2.0,4.0
13287,Turner,GA,Georgia,"8,909",3.0,3.0
13289,Twiggs,GA,Georgia,"7,691",2.0,4.0
16035,Clearwater,ID,Idaho,"9,214",1.0,1.0
18021,Clay,IN,Indiana,"26,460",1.0,1.0
18081,Johnson,IN,Indiana,"167,819",0.0,2.0
20085,Jackson,KS,Kansas,"13,368",0.0,2.0
26009,Antrim,MI,Michigan,"24,409",0.0,2.0
27089,Marshall,MN,Minnesota,"8,810",0.0,2.0
31135,Perkins,NE,Nebraska,"2,795",0.0,2.0
32021,Mineral,NV,Nevada,"4,528",2.0,4.0
36097,Schuyler,NY,New York,"17,507",1.0,2.0
37083,Halifax,NC,North Carolina,"47,298",3.0,3.0
38095,Towner,ND,North Dakota,"2,030",1.0,1.0
39097,Madison,OH,Ohio,"44,602",1.0,2.0
40075,Kiowa,OK,Oklahoma,"8,398",2.0,4.0
40101,Muskogee,OK,Oklahoma,"66,677",2.0,4.0
40109,Oklahoma,OK,Oklahoma,"808,866",1.0,4.0
47163,Sullivan,TN,Tennessee,"162,135",1.0,4.0
48195,Hansford,TX,Texas,"5,071",1.0,4.0
48327,Menard,TX,Texas,"1,958",1.0,4.0
49055,Wayne,UT,Utah,"2,614",1.0,1.0
51125,Nelson,VA,Virginia,"14,705",1.0,2.0
51790,Staunton,VA,Virginia,"25,915",1.0,2.0
54069,Ohio,WV,West Virginia,"41,194",1.0,1.0
55055,Jefferson,WI,Wisconsin,"85,743",0.0,2.0
55091,Pepin,WI,Wisconsin,"7,441",0.0,2.0
55123,Vernon,WI,Wisconsin,"31,170",0.0,2.0
5129,Searcy,AR,Arkansas,"7,806",2.0,4.0
1053,Escambia,AL,Alabama,"36,558",3.0,3.0
4017,Navajo,AZ,Arizona,"109,175",2.0,3.0
1015,Calhoun,AL,Alabama,"116,429",2.0,4.0
6033,Lake,CA,California,"67,878",1.0,4.0
59,,US,United States,"334,914,895",0.0,2.0
1133,Winston,AL,Alabama,"23,611",2.0,4.0
2220,Sitka,AK,Alaska,"8,282",0.0,2.0
2020,Anchorage,AK,Alaska,"286,075",0.0,2.0
5149,Yell,AR,Arkansas,"20,044",2.0,4.0
5023,Cleburne,AR,Arkansas,"25,445",2.0,4.0
6065,Riverside,CA,California,"2,492,442",1.0,4.0
1073,Jefferson,AL,Alabama,"662,895",1.0,4.0
1039,Covington,AL,Alabama,"37,952",2.0,4.0
6019,Fresno,CA,California,"1,017,162",2.0,4.0
2013,Aleutians East,AK,Alaska,"3,461",1.0,4.0
5025,Cleveland,AR,Arkansas,"7,378",2.0,4.0
5003,Ashley,AR,Arkansas,"18,262",3.0,3.0
2070,Dillingham,AK,Alaska,"4,607",2.0,3.0
1095,Marshall,AL,Alabama,"100,756",2.0,4.0
5047,Franklin,AR,Arkansas,"17,468",2.0,4.0
6015,Del Norte,CA,California,"26,589",1.0,4.0
1035,Conecuh,AL,Alabama,"11,174",3.0,3.0
1103,Morgan,AL,Alabama,"125,133",1.0,4.0
5009,Boone,AR,Arkansas,"38,530",1.0,4.0
