LocationID,Cluster
59,0
1001,1
1003,1
1005,3
1007,2
1009,1
1011,3
1013,3
1015,2
1017,2
1019,2
1021,2
1023,2
1025,2
1027,2
1029,2
1031,2
1033,1
1035,3
1037,2
1039,2
1041,2
1043,1
1045,2
1047,3
1049,2
1051,1
1053,3
1055,2
1057,2
1059,2
1061,2
1063,3
1065,3
1067,2
1069,2
1071,2
1073,1
1075,2
1077,1
1079,2
1081,1
1083,1
1085,3
1087,3
1089,0
1091,3
1093,2
1095,2
1097,2
1099,3
1101,2
1103,1
1105,3
1107,3
1109,2
1111,2
1113,2
1115,1
1117,0
1119,3
1121,2
1123,2
1125,1
1127,2
1129,2
1131,3
1133,2
2013,1
2016,1
2020,0
2050,3
2060,1
2063,0
2066,1
2068,0
2070,2
2090,0
2100,0
2105,1
2110,0
2122,0
2130,0
2150,0
2158,3
2164,2
2170,1
2180,3
2185,1
2188,3
2195,0
2198,2
2220,0
2230,0
2240,1
2275,1
2282,1
2290,3
4001,3
4003,1
4005,1
4007,1
4009,1
4011,0
4012,2
4013,0
4015,1
4017,2
4019,1
4021,1
4023,2
4025,0
4027,2
5001,2
5003,3
5005,2
5007,0
5009,1
5011,3
5013,2
5015,2
5017,3
5019,2
5021,2
5023,2
5025,2
5027,2
5029,2
5031,2
5033,2
5035,3
5037,2
5039,2
5041,3
5043,2
5045,1
5047,2
5049,2
5051,1
5053,1
5055,2
5057,2
5059,2
5061,2
5063,2
5065,2
5067,3
5069,3
5071,2
5073,3
5075,2
5077,3
5079,2
5081,2
5083,2
5085,1
5087,2
5089,2
5091,2
5093,3
5095,3
5097,2
5099,3
5101,2
5103,2
5105,2
5107,3
5109,2
5111,2
5113,2
5115,2
5117,2
5119,1
5121,2
5123,3
5125,1
5127,2
5129,2
5131,2
5133,3
5135,2
5137,2
5139,2
5141,2
5143,1
5145,2
5147,3
5149,2
6001,0
6003,0
6005,0
6007,1
6009,1
6011,1
6013,0
6015,1
6017,0
6019,2
6021,1
6023,1
6025,3
6027,0
6029,2
6031,2
6033,1
6035,1
6037,1
6039,2
6041,0
6043,1
6045,1
6047,2
6049,1
6051,0
6053,1
6055,0
6057,0
6059,0
6061,0
6063,0
6065,1
6067,1
6069,1
6071,1
6073,0
6075,0
6077,1
6079,0
6081,0
6083,1
6085,0
6087,0
6089,1
6091,1
6093,1
6095,0
6097,0
6099,1
6101,1
6103,1
6105,1
6107,2
6109,0
6111,0
6113,0
6115,1
8001,1
8003,1
8005,0
8007,0
8009,1
8011,2
8013,0
8014,0
8015,0
8017,0
8019,0
8021,1
8023,1
8025,1
8027,0
8029,1
8031,0
8033,0
8035,0
8037,0
8039,0
8041,0
8043,1
8045,0
8047,0
8049,0
8051,0
8053,0
8055,1
8057,1
8059,0
8061,0
8063,1
8065,0
8067,0
8069,0
8071,1
8073,1
8075,1
8077,0
8079,0
8081,1
8083,1
8085,0
8087,1
8089,2
8091,0
8093,0
8095,1
8097,0
8099,1
8101,1
8103,0
8105,0
8107,0
8109,1
8111,0
8113,0
8115,1
8117,0
8119,0
8121,0
8123,0
8125,1
9110,0
9120,0
9130,0
9140,0
9150,0
9160,0
9170,0
9180,0
9190,0
10001,1
10003,0
10005,1
11001,0
12001,1
12003,1
12005,1
12007,2
12009,0
12011,1
12013,2
12015,0
12017,1
12019,1
12021,0
12023,2
12027,3
12029,2
12031,1
12033,1
12035,0
12037,1
12039,3
12041,1
12043,2
12045,1
12047,3
12049,2
12051,3
12053,1
12055,1
12057,1
12059,2
12061,0
12063,2
12065,2
12067,2
12069,1
12071,0
12073,1
12075,2
12077,2
12079,2
12081,0
12083,1
12085,0
12086,1
12087,0
12089,0
12091,0
12093,2
12095,1
12097,1
12099,0
12101,1
12103,0
12105,1
12107,2
12109,0
12111,1
12113,0
12115,0
12117,0
12119,0
12121,2
12123,2
12125,2
12127,1
12129,1
12131,0
12133,2
13001,2
13003,3
13005,2
13007,3
13009,2
13011,1
13013,1
13015,1
13017,3
13019,2
13021,2
13023,2
13025,2
13027,3
13029,0
13031,1
13033,3
13035,1
13037,3
13039,1
13043,2
13045,1
13047,1
13049,2
13051,1
13053,2
13055,2
13057,0
13059,1
13061,3
13063,3
13065,3
13067,0
13069,3
13071,2
13073,0
13075,2
13077,0
13079,1
13081,3
13083,1
13085,0
13087,3
13089,1
13091,2
13093,2
13095,3
13097,1
13099,3
13101,1
13103,1
13105,2
13107,3
13109,2
13111,1
13113,0
13115,1
13117,0
13119,2
13121,0
13123,1
13125,1
13127,1
13129,2
13131,2
13133,1
13135,1
13137,1
13139,1
13141,3
13143,1
13145,0
13147,1
13149,1
13151,1
13153,1
13155,2
13157,1
13159,1
13161,2
13163,3
13165,3
13167,3
13169,1
13171,1
13173,2
13175,2
13177,0
13179,1
13181,2
13183,2
13185,2
13187,1
13189,2
13191,2
13193,3
13195,2
13197,2
13199,2
13201,2
13205,3
13207,1
13209,2
13211,0
13213,1
13215,2
13217,1
13219,0
13221,1
13223,1
13225,1
13227,1
13229,2
13231,1
13233,2
13235,2
13237,1
13239,3
13241,1
13243,3
13245,2
13247,1
13249,1
13251,2
13253,2
13255,2
13257,2
13259,3
13261,2
13263,3
13265,3
13267,3
13269,3
13271,3
13273,3
13275,2
13277,2
13279,2
13281,1
13283,3
13285,2
13287,3
13289,2
13291,1
13293,2
13295,1
13297,1
13299,2
13301,3
13303,3
13305,2
13307,3
13309,3
13311,1
13313,1
13315,3
13317,2
13319,2
13321,2
15001,1
15003,0
15005,1
15007,0
15009,0
16001,0
16003,1
16005,1
16007,0
16009,1
16011,1
16013,0
16015,0
16017,0
16019,0
16021,1
16023,2
16025,0
16027,1
16029,0
16031,1
16033,1
16035,1
16037,0
16039,1
16041,0
16043,0
16045,0
16047,1
16049,1
16051,0
16053,2
16055,0
16057,0
16059,1
16061,1
16063,1
16065,1
16067,1
16069,1
16071,0
16073,2
16075,1
16077,1
16079,1
16081,0
16083,1
16085,0
16087,1
17001,0
17003,2
17005,1
17007,1
17009,1
17011,1
17013,0
17015,1
17017,1
17019,0
17021,1
17023,0
17025,1
17027,0
17029,1
17031,0
17033,1
17035,0
17037,1
17039,1
17041,1
17043,0
17045,1
17047,1
17049,0
17051,1
17053,1
17055,1
17057,1
17059,1
17061,1
17063,0
17065,1
17067,1
17069,1
17071,1
17073,0
17075,1
17077,1
17079,0
17081,1
17083,0
17085,0
17087,1
17089,0
17091,1
17093,0
17095,1
17097,0
17099,1
17101,1
17103,1
17105,1
17107,1
17109,1
17111,0
17113,0
17115,1
17117,1
17119,0
17121,1
17123,1
17125,1
17127,1
17129,0
17131,1
17133,0
17135,1
17137,1
17139,1
17141,0
17143,1
17145,1
17147,0
17149,1
17151,1
17153,2
17155,0
17157,1
17159,1
17161,1
17163,1
17165,1
17167,0
17169,1
17171,0
17173,1
17175,1
17177,1
17179,0
17181,1
17183,1
17185,1
17187,1
17189,0
17191,1
17193,1
17195,1
17197,0
17199,1
17201,1
17203,0
18001,2
18003,1
18005,1
18007,1
18009,2
18011,0
18013,0
18015,1
18017,2
18019,1
18021,1
18023,1
18025,2
18027,2
18029,0
18031,1
18033,1
18035,1
18037,1
18039,1
18041,2
18043,1
18045,1
18047,1
18049,1
18051,1
18053,2
18055,1
18057,0
18059,0
18061,1
18063,0
18065,1
18067,1
18069,1
18071,1
18073,1
18075,2
18077,1
18079,1
18081,0
18083,1
18085,1
18087,1
18089,1
18091,1
18093,1
18095,1
18097,1
18099,1
18101,1
18103,1
18105,1
18107,1
18109,1
18111,1
18113,1
18115,1
18117,1
18119,1
18121,2
18123,1
18125,1
18127,0
18129,0
18131,1
