,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40
ACCESS2,0.09792139867069445,-0.28274667037783446,-0.18803800412728888,-0.10919852386121762,0.18105819853664643,0.15576358642761526,0.3376662753963687,-0.14684366861835446,-0.05980580175121695,-0.17563939848696514,0.28830149941566513,0.16356217452287022,-0.018544614998957622,0.23570906533210811,0.2950155245398742,-0.24643436807688224,0.2217079477120613,0.14181780101090533,0.05982223372739242,0.20612011527535107,0.23883249103305434,0.025323969826230537,0.11063428927463421,0.2446993266196896,0.14807113573649647,0.13652538351800508,0.001393160188739717,-0.027838480438994218,-0.08809551112009452,0.00701328374141966,-0.08210644834374198,-0.01036685605503193,0.026846549042829505,0.01599504014602679,-0.11869898900630102,0.006567637618868529,0.06649458414203925,0.02722431894808576,0.014183234475938146,0.03146698853190522
ARTHRITIS,0.1368524538591196,0.273209479862409,0.16944657616478837,-0.0005219101186237259,0.0838392236054859,-0.033221705421997275,-0.04804228761365832,-0.013064038120134645,0.1349619796677462,0.017254357942175502,0.03927887495679516,0.0811147694061211,-0.11243711164160278,-0.08341220421694812,0.055604034271173636,-0.33200652928569946,-0.07644111920124302,0.12608562800431938,-0.3552172974758458,0.25869254609635195,-0.15916475334695795,0.3163297504563595,0.33740686613190024,-0.23072927015858635,0.04868313759922718,-0.1250038449670401,-0.29143553954842877,-0.13428906192690104,-0.13684457642992465,0.14233267979434014,-0.14409953386753196,-0.006132103671989062,-0.05729617408756628,0.10394036520198104,0.00030920903353340995,-0.011480250267765928,0.06512214315135878,0.011562789734845487,-0.015196790023510449,-0.02923497502238142
BINGE,-0.10473499896855853,0.12297120203275669,-0.12638799671035272,0.29687826141503615,-0.2634787643173959,0.6215528745577295,-0.09690530491940796,-0.08533168064842055,-0.2177635773934805,-0.0501260691238004,-0.09552452631764782,-0.15821989997876917,0.050462112097731014,0.1208456869224002,0.10395816870570677,-0.20787109211684068,-0.25714697053065283,0.15655417338774663,-0.2663690949927504,-0.01636705637411688,0.14312651769986742,-0.04995291628630229,-0.0917508734218104,0.006535918120355685,-0.17191793456630966,0.05965467946482866,0.014398650685063057,0.021867169373102492,0.06699248494356082,0.009740251399463067,0.0024550606891631382,-0.05845262372287279,0.06890691637981433,0.013278211297964707,0.0308466867477176,0.01736328900783286,0.02073642656007095,0.015701532509025045,0.003512274278966143,-0.012227554698893174
BPHIGH,0.17808023730359407,-0.032507681323343696,0.18717832415346586,0.1003001169976862,0.08227372458405302,-0.05489729041965424,-0.1052761484642934,0.013333838719475341,0.13601315876276215,0.004951881776604675,-0.12579328374373436,0.0950347476697779,0.12460767565988974,-0.1977653407250653,-0.20459702878155822,-0.23221689310948684,0.039349981374101284,0.05726327208861917,-0.10755684344328259,-0.0015952301570236332,0.1340718405547496,0.2447315545403048,0.09508805661004122,0.39535615987535283,-0.2837770658075733,0.30303435619861363,0.2987923380111908,0.3107203687630516,-0.10708336527266776,-0.10005173483725963,0.05620365571915192,0.15252942691776633,-0.10801266318454177,-0.09276400406373182,0.12062992000128889,0.0456791187629264,0.03123613832159501,0.03915664148036535,-0.03351453901872116,-0.032350054092412664
BPMED,0.10372770268518379,-0.14304163042434903,0.30278588388898275,0.36782857359802823,0.09034369108753319,0.042418029868671575,-0.03731106440029336,0.05316966735256253,-0.08350800741886985,-0.11864274435698126,0.11370001292110889,0.08081996142566256,-0.08338471241035052,0.08692126507749304,-0.33602611817198413,-0.03641314709361511,0.0004633341304619634,0.3164430295639993,0.1627727513272696,0.11922870049467785,0.16203546098023536,0.10748169766078759,-0.33301872481948086,-0.08317446298753506,0.2713218754436961,-0.3359550919298202,-0.09852250167986112,0.10185741976922988,0.0598357302896272,-0.13214817239436025,-0.003439064893826914,0.16155456056378545,-0.032950234013619,0.002396849220279976,0.03007368604933415,-0.03720837782751729,0.0012462156280563103,-0.06442679056394614,-0.022197075015454017,-0.012139163318471789
CANCER,-0.08984058949832187,0.3731952864771248,0.05359151215132146,0.05946141596020127,0.11258434171462306,0.04587055708789838,-0.13398855486918787,-0.08443738413263019,-0.2198610626653007,-0.109025993629599,0.0692600081561188,0.21588341508477538,-0.15596414731566086,0.04191571141553087,0.13386396630726494,-0.18577336045221463,0.2886534595768709,-0.39563817991144545,0.1186018402380461,-0.08946396053041249,-0.038824983916957406,0.2563280806835046,-0.34663134807167373,0.013879975825080604,-0.12914902130107828,0.024604414506354477,0.11559555480245959,-0.29835630440239674,-0.01637305434715798,-0.13888343698719602,-0.027068959647920318,0.1335483262397518,-0.031728731058962026,0.022270504073225596,-0.014007147621081212,0.018551078819727562,-0.023839505241724887,-0.06935586622600261,0.03530431871529732,-0.017574994422660008
CASTHMA,0.09003540417391685,0.3267797631973137,0.06296873364079955,-0.18597246177960713,-0.2812555467045379,-0.16411712878498425,-0.08748154595963958,0.20960337874185397,0.149027244707024,-0.09549466119266425,0.07460294046960547,-0.061772515131835876,-0.08589850026360217,-0.039765854057981914,0.4122807322408726,0.24456458249066937,0.08711616724688104,0.4198313945814908,-0.011061650396363169,0.21638649141591043,0.17753447450154014,0.004197150913550404,-0.21702193851751778,0.20119614983741016,-0.15019913058489898,-0.055974193312710224,-0.02461339441789967,-0.014105396799044823,0.08445795992992262,-0.06359114062988287,0.08826958617364328,0.08391777513882417,-0.008873517028272257,0.023535518409575205,0.04127795047111982,0.024690872971254094,-0.044225961598295366,0.012707769149718655,0.0381780767835915,0.023195660076907078
CHD,0.19028022487642535,0.11528027825821456,-0.03910529389625661,0.10584092696972314,0.0017886017379745711,0.010907687171901992,0.033549929765611386,-0.01968722858883254,-0.17794115283076622,-0.027021685947969425,-0.05086206736036518,0.08514967745459921,-0.062897052427004,-0.027671398373266362,0.03491154749898562,0.0037200779451257437,0.09532059002694805,-0.0012474448008372649,0.20796804765172924,-0.028130394096419646,-0.30653362699056325,-0.022808606064645225,0.10803874415252218,0.21199930634022882,-0.09978644997909111,-0.09714899384166417,-0.08182850596335789,0.3052953653733905,0.5546014673711183,0.13374748358968702,-0.29408021364916614,-0.08047982799599811,-0.041893714030862846,0.25277210662487876,-0.0303514329366856,0.11312543909682918,0.2211652990576826,0.13026739487154046,0.019592510954412598,-0.018985942275039677
CHECKUP,0.047282985786536634,-0.02633460070013979,0.45189166585915813,0.14628893497926776,0.03726405567571622,-0.13591215233745146,-0.07545922908766864,0.03683642099763956,-0.19592431602292504,-0.18470890054603697,0.031848735566796654,-0.3204344186485722,0.035726807213867014,0.23605516829999784,0.04812064669447244,0.0325467141355458,0.26925817643053074,-0.0651293937858341,-0.3150373157245105,0.15313387805590759,-0.21025826533124914,-0.40593092896665856,0.02335756531881364,0.009192291413832078,0.05447865106593551,0.20968658172523416,0.13875794667941335,-0.017671966325719914,-0.06645967248194695,-0.0014667764749994976,-0.1099002202184414,0.005191894194101144,-0.04232666548409226,0.019418412155880478,-0.11033851886297041,0.0041380004244148914,-0.017940287167095947,0.029250493833622798,0.017324508723678043,0.007725187717737364
CHOLSCREEN,-0.07829020923038509,-0.13873283335253123,0.3853837348180477,-0.221852147265923,-0.018784187317446577,0.0018306387178695926,-0.08616423136847584,-0.049761351474440746,-0.12688249753005135,-0.3575876069336432,0.08953259221046722,-0.30201348176567855,-0.08394892362188455,0.01598338347836245,0.1346430330518026,-0.08075451770244123,-0.07697225048763565,-0.08255479003915493,0.23403433997668782,-0.31165406731185374,0.2541656489399172,0.19510815471155865,0.2762738439306993,-0.09721938141761505,-0.2305081403988985,-0.17222386017716074,-0.08091490225688976,0.11787580416530373,0.017306166272079787,0.09713293947867935,0.07979592619250948,-0.025847682684632056,0.10396781884632922,0.03202898961200753,0.008569495410042455,-0.013070135673926456,0.005112408814602787,-0.02147281205936908,0.02784172226912309,0.07101968724665457
